Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.204-40.81.26.225-45719-443-6,192.168.1.204,45719,40.81.26.225,443,6,04/02/2020 09:51:36 AM,88241,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22.665200983669724,88241.0,0.0,88241.0,88241.0,0,0,0,0,0,88241.0,88241.0,0.0,88241.0,88241.0,0,0,0,0,0,40,0.0,22.665200983669724,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2053,0,0,0,0,0,0,0,0,0,0,No Label
172.105.215.210-192.168.1.204-443-45742-6,192.168.1.204,45742,172.105.215.210,443,6,04/02/2020 09:51:37 AM,3587100,6,11,626.0,4782.0,326.0,0.0,104.33333333333334,131.7295208625108,1440.0,0.0,434.72727272727263,582.0178847611285,1507.6245435031083,4.739204371219091,224193.75,745903.3857861664,3011494.0,1.0,432317.0,86463.4,77854.3721656016,147645.0,540.0,3587100.0,358710.0,934834.4207927353,3011688.0,1.0,0,0,0,0,120,244,1.6726603663126203,3.0665440049064703,0.0,1440.0,300.44444444444446,484.6822151401912,234916.84967320258,0,1,0,0,0,0,0,0,1.0,318.11764705882354,104.33333333333333,434.72727272727275,0,0,0,0,0,0,6,626,11,4782,-1,254,3,0,0,0,0,0,0,0,0,0,No Label
192.168.1.204-35.187.36.248-45744-8888-6,192.168.1.204,45744,35.187.36.248,8888,6,04/02/2020 09:51:57 AM,705376,3,4,234.0,311.0,234.0,0.0,78.0,135.09996299037243,311.0,0.0,77.75,155.5,772.6375720183278,9.92378532867577,117562.66666666667,181717.2178960119,352775.0,146.0,352455.0,176227.5,248971.5905490022,352277.0,178.0,705110.0,235036.6666666667,203141.20177436512,352775.0,470.0,0,0,0,0,60,104,4.253050855146759,5.670734473529011,0.0,311.0,68.125,127.81061603571344,16335.553571428569,0,1,0,0,0,0,0,0,1.0,77.85714285714286,78.0,77.75,0,0,0,0,0,0,3,234,4,311,-1,58,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.204-35.187.36.248-45745-8888-6,192.168.1.204,45745,35.187.36.248,8888,6,04/02/2020 09:51:57 AM,708298,3,4,234.0,311.0,234.0,0.0,78.0,135.09996299037243,311.0,0.0,77.75,155.5,769.4501466896702,9.882845920784755,118049.66666666667,182662.2973693988,354546.0,1.0,354988.0,177494.0,250713.19455106466,354775.0,213.0,708070.0,236023.3333333333,204403.10595569073,354885.0,1.0,0,0,0,0,60,104,4.235505394622038,5.647340526162717,0.0,311.0,68.125,127.81061603571344,16335.553571428569,0,1,0,0,0,0,0,0,1.0,77.85714285714286,78.0,77.75,0,0,0,0,0,0,3,234,4,311,-1,58,1,0,0,0,0,0,0,0,0,0,No Label
172.105.215.210-192.168.1.204-443-45747-6,192.168.1.204,45747,172.105.215.210,443,6,04/02/2020 09:52:37 AM,3830848,7,14,756.0,5716.0,326.0,0.0,108.0,120.64272322302189,1440.0,0.0,408.2857142857143,555.0404598656859,1689.4431728954007,5.48181499239855,191542.40000000002,666559.0377564308,2995849.0,0.0,705773.0,117628.83333333334,147636.90292798297,386966.0,527.0,3830848.0,294680.6153846154,820157.0428161445,2996065.0,0.0,0,0,0,0,152,316,1.82727166413285,3.6545433282657,0.0,1440.0,294.1818181818182,468.21348777013054,219223.87012987016,0,1,0,0,0,0,0,0,2.0,308.1904761904762,108.0,408.2857142857143,0,0,0,0,0,0,7,756,14,5716,-1,254,4,0,0,0,0,0,0,0,0,0,No Label
192.168.1.204-40.81.26.225-45743-443-6,192.168.1.204,45743,40.81.26.225,443,6,04/02/2020 09:51:42 AM,69442086,13,14,5197.0,8826.0,1440.0,0.0,399.76923076923083,602.0505451989551,1440.0,0.0,630.4285714285714,671.7752273223209,201.9380581395553,0.38881320471853337,2670849.4615384615,1.3466722226588E7,6.8696577E7,0.0,6.9336453E7,5778037.75,1.9814337701077573E7,6.8696577E7,11.0,700473.0,53882.538461538454,55571.80364569696,141274.0,0.0,0,0,0,0,260,304,0.187206357827442,0.20160684689109137,0.0,1440.0,500.8214285714286,633.4791676291383,401295.8558201059,0,1,0,0,0,0,0,0,1.0,519.3703703703703,399.7692307692308,630.4285714285714,0,0,0,0,0,0,13,5197,14,8826,-1,2053,8,0,0,0,0,0,0,0,0,0,No Label
172.105.215.210-192.168.1.204-443-45750-6,192.168.1.204,45750,172.105.215.210,443,6,04/02/2020 09:53:37 AM,3544877,6,11,626.0,4782.0,326.0,0.0,104.33333333333334,131.7295208625108,1440.0,0.0,434.72727272727263,582.0178847611285,1525.5818467044132,4.795652994448044,221554.8125,743926.7699106965,3002538.0,1.0,412247.0,82449.4,74482.55463731088,141122.0,545.0,3544877.0,354487.7,932855.8898324661,3002698.0,1.0,0,0,0,0,120,244,1.6925834098051922,3.103069584642852,0.0,1440.0,300.44444444444446,484.6822151401912,234916.84967320258,0,1,0,0,0,0,0,0,1.0,318.11764705882354,104.33333333333333,434.72727272727275,0,0,0,0,0,0,6,626,11,4782,-1,254,3,0,0,0,0,0,0,0,0,0,No Label
142.250.4.188-192.168.1.204-5228-45409-6,192.168.1.204,45409,142.250.4.188,5228,6,04/02/2020 09:51:36 AM,90219499,2,4,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,0.5,0.03325223519585273,0.06650447039170546,1.80438998E7,2.4618136006585293E7,4.5013969E7,62976.0,4.507244E7,4.507244E7,0.0,4.507244E7,4.507244E7,9.0219499E7,3.0073166333333332E7,2.5987804922382157E7,4.507752E7,65034.0,0,0,0,0,40,116,0.02216815679723515,0.0443363135944703,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,1.0,0.25,0,0,0,0,0,0,2,2,4,1,-1,255,2,0,64005.0,1455.2257556819147,65034.0,62976.0,4.50117165E7,3185.5160492453965,4.5013969E7,4.5009464E7,No Label
172.105.215.210-192.168.1.204-443-45754-6,192.168.1.204,45754,172.105.215.210,443,6,04/02/2020 09:54:37 AM,7798401,8,12,626.0,4782.0,326.0,0.0,78.25,121.35632304440153,1440.0,0.0,398.5,568.9453560596291,693.4754958099744,2.56462831290671,410442.1578947368,828460.7110042002,3004026.0,0.0,3792389.0,541769.8571428572,761195.0547703324,2015461.0,627.0,7798401.0,708945.5454545454,1450519.5354215924,4172767.0,0.0,0,0,0,0,196,276,1.025851325162684,1.538776987744026,0.0,1440.0,257.5238095238095,459.65754851276176,211285.06190476194,0,1,0,0,0,0,0,0,1.0,270.4,78.25,398.5,0,0,0,0,0,0,8,626,12,4782,-1,254,3,0,0,0,0,0,0,0,0,0,No Label
172.105.215.210-192.168.1.204-443-45758-6,192.168.1.204,45758,172.105.215.210,443,6,04/02/2020 09:55:37 AM,3538415,6,11,626.0,4782.0,326.0,0.0,104.33333333333334,131.7295208625108,1440.0,0.0,434.72727272727263,582.0178847611285,1528.3679274477413,4.80441101453617,221150.9375,741538.7001029205,2992814.0,1.0,418183.0,83636.6,75862.10207541048,151436.0,554.0,3538415.0,353841.5,929793.1239136837,2992981.0,1.0,0,0,0,0,120,244,1.695674475718648,3.108736538817521,0.0,1440.0,300.44444444444446,484.6822151401912,234916.84967320258,0,1,0,0,0,0,0,0,1.0,318.11764705882354,104.33333333333333,434.72727272727275,0,0,0,0,0,0,6,626,11,4782,-1,254,3,0,0,0,0,0,0,0,0,0,No Label
